id,name,note
1,alice,hello
2,,hello
3,bob,
4,,
5,"smith, john",ok
6,"say ""hi""",ok
7,"""",ok
8,"",ok
9,"line one
line two",ok
10,"crlf
inside",ok
11,windows,ok
12,",,,,",ok
13,"tab	here",ok
14,café ☕ 日本語,ok
15,"naïve, résumé",ok
